County,State,Population,Valid_ballots,Voter_turnout,Vote,Vote_share
Bartholomew County,Indiana,82231,32490,39.51064684,9841,30.28931979
Benton County,Indiana,8658,3666,42.34234234,860,23.45881069
Blackford County,Indiana,12115,4839,39.94222039,1243,25.68712544
Boone County,Indiana,64192,32178,50.12774177,10181,31.63962956
Brown County,Indiana,14996,7945,52.98079488,2518,31.69288861
Carroll County,Indiana,19973,8643,43.27341912,1892,21.89054726
Cass County,Indiana,37905,14209,37.48581981,3759,26.45506369
Clark County,Indiana,115588,51147,44.24940305,18808,36.77244022
Clay County,Indiana,26210,11282,43.04463945,2306,20.43963836
Clinton County,Indiana,32207,11936,37.0602664,2819,23.61762735
Crawford County,Indiana,10583,4593,43.39979212,1323,28.80470281
Daviess County,Indiana,33010,10768,32.62041806,1800,16.71619614
Dearborn County,Indiana,49436,23987,48.5213205,4883,20.35685997
Decatur County,Indiana,26565,11127,41.88594015,2121,19.06174171
DeKalb County,Indiana,42652,16902,39.62768452,3942,23.32268371
Delaware County,Indiana,115657,45123,39.01449977,18153,40.2300379
Dubois County,Indiana,42450,19984,47.07656066,5389,26.96657326
Elkhart County,Indiana,203642,65630,32.22812583,20740,31.6014018
Fayette County,Indiana,23252,9530,40.98572166,2252,23.63064008
Floyd County,Indiana,76734,37425,48.77238252,13945,37.26118904
Fountain County,Indiana,16457,7492,45.52470074,1476,19.70101442
Franklin County,Indiana,22770,11013,48.36627141,1969,17.87887043
